,Donor,Unnamed: 1,Approval Year (Date of Approval ADB),Approval Year (ADB),Product Approval Number,Approval Numbers,Proj No,MFF Number,Equity Number,Country Mnemonic,Loan/Grant Title,Department,Division,Approval,OCR,ADF Loan,ADF Grant,SF ,Total,Grants,Loans,Commercial,Total CF,Type of Cofinancing,Agreement Type,Admin Arrangement,Source Classification,Source Subtype,ADB Fund Source,Sector Code,Sector,Subsector Code,Subsector,Approval Date CF,Date of Agreement Letter,Theme,Supplementary,cofinanceOfficer,Recording Date,Effectivity Date,Physical Closing Date,Financial Completion Date,statuscofinancing,Sov-NonSov,PCR Rating,Validation Rating,PPER Rating,Remarks,Publications
2879,Netherlands,Netherlands,1994,1994,,1301,,,,PAK,Social Action Program (Sector),CWRD,,06/23/1994,,,,,0.00,,13.00,,13.00,Non-DVA,,,Bilateral,Loan,ADF,3900.0,Multisector,3900,,,,,,,06/23/1994,,,,,Sovereign,,,,,
2881,Asian Development Bank,"Netherlands,IFAD",1996,1996,,1381/2564(L),,,,BAN,Beneficiary Participation and Project Management,SARD,AWAR,05/02/1996,0.00,32.00,0.00,,32.00,,,,,,,,,,ADF,3000.0,Agriculture and Natural Resources,,,,,,,,,,,,,,S,,,"Anchor loan was approved on 26 Sep 1995, Board doc on admin of IFAD loan and NET grant was approved on 2 May 1996 per MF and LTAA. ",
2882,Netherlands,Netherlands,1996,1996,2564(L),1381/2564(L),,,,BAN,Beneficiary Participation and Project Management,SARD,AWAR,05/02/1996,,,,,0.00,6.80,,,6.80,DVA,PS,Full Administration,Bilateral,Grant,ADF,3000.0,Agriculture and Natural Resources,,,,,,,,05/02/1996,04/08/1996,,01/15/2003,,Sovereign,,,,"Addl 200,000 not recorded here.   Adj Dec05 from $6.8 to $5.886 ref PCR. - YLeones MBT: Anchor loan was approved on 26 Sep 1995, Board doc on admin of IFAD loan and NET grant was approved on 2 May 1996 per MF and LTAA. ",
2884,Asian Development Bank,Netherlands,2001,2001,,1381/2564(L),,,,BAN,Beneficiary Participation and Project Management (Supplementary),SARD,AWAR,02/14/2001,0.00,0.00,0.00,,0.00,,,,,,,,,,ADF,3000.0,Agriculture and Natural Resources,,,,,,,,,,,,,,,,,Per MF and LTAA,
2885,Netherlands,Netherlands,2001,2001,2564(L),1381/2564(L),,,,BAN,Beneficiary Participation and Project Management (Supplementary),SARD,AWAR,02/14/2001,,,,,0.00,0.20,,,0.20,DVA,PS,Full Administration,Bilateral,Grant,,3000.0,Agriculture and Natural Resources,,,,,,Yes,,02/14/2001,,,,,Sovereign,,,,,
2887,Asian Development Bank,Netherlands,1996,1996,,1403/2563(L),,,,PAK,Forestry Sector,CWRD,SAAE,04/30/1996,0.00,42.60,0.00,,42.60,,,,,,,,,,ADF,3000.0,Agriculture and Natural Resources,,,,,,,,,,,,,,Partly successful,Partly successful,,Anchor project approved in 9-Nov-1995,
2888,Netherlands,Netherlands,1996,1996,2563(L),1403/2563(L),23319,,,PAK,Forestry Sector,CWRD,,04/30/1996,,,,,0.00,14.15,,,14.15,DVA,,Full Administration,Bilateral,Grant,ADF,3000.0,Agriculture and Natural Resources,,,,,,,,04/30/1996,03/11/1996,,05/22/2007,,Sovereign,Partly successful,Partly successful,,,
2890,Asian Development Bank,"Netherlands,U.K.,EC,World Bank",1996,1996,,1493,,,,PAK,Social Action Program (Sector) Project II,CWRD,,11/28/1996,0.00,200.00,0.00,,200.00,,,,,,,,,,ADF,3900.0,Multisector,3900,Multisector,,,,,,,,,,,,,,,,
2891,Netherlands,Netherlands,1996,1996,,1493,,,,PAK,Social Action Program (Sector) Project II,CWRD,,11/28/1996,,,,,0.00,,35.00,,35.00,Non-DVA,,,Bilateral,Loan,ADF,3900.0,Multisector,3900,,,,,,,11/28/1996,,,,,Sovereign,,,,,
2893,Asian Development Bank,Netherlands,1997,1997,,1515/2852(L),29204,,,VIE,Forestry Sector,SERD,SEAE,08/20/1997,0.00,33.00,0.00,,33.00,,,,,,,,,,ADF,3000.0,Agriculture and Natural Resources,,,,,,,,,,,,,,Succesful,,,,
2894,Netherlands,Netherlands,1997,1997,2852(L),1515/2852(L),29204,,,VIE,Forestry Sector,SERD,SEAE,08/20/1997,,,,,0.00,7.00,,,7.00,DVA,PS,Full Administration,Bilateral,Grant,ADF,3000.0,Agriculture and Natural Resources,,,,,,,,08/20/1997,10/08/1997,,11/28/2006,,Sovereign,Succesful,,,ADB admin grant 2852(L). PCR Dec07 - adj Dec08 bnk 35 to 10.49 cfg from $7 to $6.782.  File to OAS Aug10.,
2896,Asian Development Bank,"Netherlands,GEF",1998,1998,,1643/3158(L)/3300(L),30032,,,BAN,Sundarbans Biodiversity Conservation,SARD,SAAE,11/27/1998,0.00,37.00,0.00,,37.00,,,,,,,,,,ADF,3000.0,Agriculture and Natural Resources,,,,,,,,,,,,,,Unsuccessful,Unsuccessful,,$12.20 in LTAA 3158(L),
2898,Asian Development Bank,"Netherlands,GEF",1999,1999,3300(L),1643/3158(L)/3300(L),30032,,,BAN,Sundarbans Biodiversity Conservation (Supplementary),SARD,SAAE,11/10/1999,0.00,37.00,0.00,,37.00,,,,,,,,,,ADF,3000.0,Agriculture and Natural Resources,,,,,,,,,,,,,,Unsuccessful,Unsuccessful,,$12.20 in LTAA 3158(L),
2899,Netherlands,Netherlands,1999,1999,3300(L),1643/3158(L)/3300(L),30032,,,BAN,Sundarbans Biodiversity Conservation (Supplementary),SARD,SAAE,11/10/1999,,,,,0.00,3.50,,,3.50,DVA,PS,Full Administration,Bilateral,Grant,ADF,3000.0,Agriculture and Natural Resources,,,,,,Yes,,11/10/1999,,,,,Sovereign,Unsuccessful,Unsuccessful,,,
2901,Asian Development Bank,Netherlands,2000,2000,,1716/3477(L),31287,,,SRI,Coastal Resource Management,SARD,SAOC,08/04/2000,0.00,40.00,0.00,,40.00,,,,,,,,,,ADF,3000.0,Agriculture and Natural Resources,,,,,,,,,,,,,,Succesful,,,,
2902,Netherlands,Netherlands,2000,2000,3477(L),1716/3477(L),31287,,,SRI,Coastal Resource Management,SARD,SAOC,08/04/2000,,,,,0.00,12.76,,,12.76,DVA,PS,Full Administration,Bilateral,Grant,ADF,3000.0,Agriculture and Natural Resources,,,,,,,,08/04/2000,06/14/2000,,09/02/2010,,Sovereign,Succesful,,,ADB admin 3477(L),
2904,Asian Development Bank,"Netherlands,GEF",2001,2001,,1767/3519(L)/3778(L),31381,,,SRI,Protected Area Management and Wildlife Conservations,SARD,,09/13/2001,0.00,12.00,0.00,,12.00,,,,,,,,,,ADF,3000.0,Agriculture and Natural Resources,,,,,,,,,,,,,,Succesful,,,Anchor project approved in 19 Oct 2000,
2905,Netherlands,Netherlands,2001,2000,3778(L),1767/3519(L)/3778(L),31381,,,SRI,Protected Area Management and Wildlife Conservations,SARD,,09/13/2001,,,,,0.00,4.00,,,4.00,DVA,PS,Full Administration,Bilateral,Grant,ADF,3000.0,Agriculture and Natural Resources,,,,,,,,09/13/2001,09/17/2001,,04/08/2009,,Sovereign,Succesful,,,ADB Admin 3778(L) app 13Sep01.,
2907,Asian Development Bank,Netherlands,2001,2001,,1831/3683(L),30209,,,BAN,Small Scale Water Resources Development Sector II,SARD,SAAE,07/12/2001,0.00,34.00,0.00,,34.00,,,,,,,,,,ADF,3000.0,Agriculture and Natural Resources,,,,,,,,,,,,,,Successful,,,,"DR 2012. line on big Development Partnership Results, pp1; two paras in SARD section on Partnership Results, pp 19."
2908,Netherlands,Netherlands,2001,2001,3683(L),1831/3683(L),30209,,,BAN,Small Scale Water Resources Development Sector II,SARD,SAAE,07/12/2001,,,,,0.00,24.30,,,24.30,DVA,PS,Full Administration,Bilateral,Grant,ADF,3000.0,Agriculture and Natural Resources,,,,,,,,07/12/2001,11/09/2001,,06/15/2010,,Sovereign,Successful,,,"(R91-01, 21Jun01)","DR 2012. line on big Development Partnership Results, pp1; two paras in SARD section on Partnership Results, pp 19."
2910,Asian Development Bank,"Germany,Netherlands,OFID",2001,2001,,1846/3742(L),34442,,,SRI,North East Community Restoration and Development,SARD,SAOC,10/16/2001,0.00,25.00,0.00,,25.00,,,,,,,,,,ADF,3000.0,Agriculture and Natural Resources,,,,,,,,,,,,,,HS,,,,
2911,Netherlands,Netherlands,2001,2001,3742 (L),1846/3742(L),34442,,,SRI,North East Community Restoration and Development,SARD,SAOC,10/16/2001,,,,,0.00,0.50,,,0.50,DVA,,Full Administration,Bilateral,Grant,ADF,3000.0,Agriculture and Natural Resources,,,,,,,,10/16/2001,01/09/2002,,01/23/2009,,Sovereign,HS,,,,
2913,Asian Development Bank,"France,Netherlands",2002,2002,,1855/3892(L),30292,,,VIE,Second Red River Basin Sector,SERD,SEAE,06/27/2002,0.00,70.00,0.00,,70.00,,,,,,,,,,ADF,3000.0,Agriculture and Natural Resources,,,,,,,,,,,,,,Succesful,,,,
2914,Netherlands,Netherlands,2002,2001,3892(L),1855/3892(L),30292,,,VIE,Second Red River Basin Sector,SERD,SEAE,06/27/2002,,,,,0.00,10.60,,,10.60,DVA,PS,Full Administration,Bilateral,Grant,ADF,3000.0,Agriculture and Natural Resources,,,,,,,,06/20/2002,05/17/2002,,02/14/2011,,Sovereign,Succesful,,,"anchor loan was approved on 13-Nov-01  Adj. Additional cf from NET in 27Jun02. In 2002 was listed under approvals, adj in 2003 included in 2001.",
2916,Asian Development Bank,Netherlands,2006,2006,,1863/0047,31137,,,INO,Decentralized Basic Education,SERD,,03/14/2006,0.00,100.00,0.00,,100.00,,,,,,,,,,ADF,3100.0,Education,,,,,,,,,,,,,,Succesful,,,,
2917,Netherlands,Netherlands,2006,2006,0047,1863/0047,31137,,,INO,Decentralized Basic Education,SERD,,03/14/2006,,,,,0.00,28.00,,,28.00,DVA,,Full Administration,Bilateral,Grant,ADF,3100.0,Education,,,,,,,,03/14/2006,05/20/2002,,06/30/2009,,Sovereign,Succesful,,,,
2919,Asian Development Bank,"Netherlands,Sweden",2002,2002,,1953/4007(L)/4008(L),35274,,,CAM,Commune Council Development,SERD,SEGF,12/03/2002,0.00,10.00,0.00,,10.00,,,,,,,,,,ADF,3600.0,Public Sector Management,,,,,,,,,,,,,,Highly Successful,,,PCR 2008,
2920,Netherlands,Netherlands,2002,2002,4008(L),1953/4007(L)/4008(L),35274,,,CAM,Commune Council Development,SERD,SEGF,12/03/2002,,,,,0.00,2.40,,,2.40,DVA,PS,Full Administration,Bilateral,Grant,ADF,3600.0,Public Sector Management,,,,,,,,12/03/2002,03/13/2003,,11/29/2007,,Sovereign,Highly Successful,,,,
2922,Asian Development Bank,Netherlands,2002,2002,,1964/4022(L),35261,,,INO,Sustainable Capacity Building for Decentralization,SERD,IRM,12/10/2002,0.00,42.22,0.00,,42.22,,,,,,,,,,ADF,3600.0,Public Sector Management,,,,,,,,,,,,,,Successful,,,,
2923,Netherlands,Netherlands,2002,2002,4022(L),1964/4022(L),35261,,,INO,Sustainable Capacity Building for Decentralization,SERD,IRM,12/10/2002,,,,,0.00,8.54,,,8.54,DVA,PS,Full Administration,Bilateral,Grant,ADF,3600.0,Public Sector Management,,,,,,,,12/10/2002,09/05/2003,,08/07/2012,,Sovereign,Successful,,,Grant 4022 (L). Adj from $8.8 to $8.54 ref 19Jun06 OGC memo. Adj Dec07.,
2925,Asian Development Bank,Netherlands,2002,2002,,1974/4032(L),31328,,,IND,Modernizing Government and Fiscal Reform in Kerala,SARD,SAGF,12/16/2002,200.00,0.00,0.00,,200.00,,,,,,,,,,OCR,3600.0,Public Sector Management,,,,,Private Sector Development,,,,,,,,,Partly successful,Partly Successful,,,
2926,Netherlands,Netherlands,2002,2002,4032(L),1974/4032(L),31328,,,IND,Modernizing Government and Fiscal Reform in Kerala,SARD,SAGF,12/16/2002,,,,,0.00,50.00,,,50.00,DVA,PS,Full Administration,Bilateral,Grant,OCR,3600.0,Public Sector Management,,,,,,,,12/16/2002,12/17/2002,,12/31/2005,,Sovereign,Partly successful,Partly Successful,,Adj Dec07. from $50 to $25 re PCR para 34. MBT: adjusted to reflect correct amount of $50m ,
2928,Asian Development Bank,"Japan,U.K.,Canada,Australia,Norway,Sweden,Netherlands,World Bank,EC",2003,2003,,2015/4209(L),30216,,,BAN,Second Primary Education Development Program (Sector Loan),SARD,SASS,11/03/2003,0.00,100.00,0.00,,100.00,,,,,,,,,,ADF,3100.0,Education,,,,,Inclusive Social and Gender Development,,,,,,,,,Successful,,,"Of the toal amount of Grant, $150M IS FINANCED BY UNITED KINGDOM, $100M BY EC, $50M BY NETHERLANDS, $40M BY NORWAY, $29M BY SWEDEN AND $20M BY CANADA.","DR 2009. Case Study: Improving Primary Education in Bangladesh, pp 14-15. DR 2010. Case Study: Reforming Education, pp 38-39."
2929,Netherlands,Netherlands,2003,2003,4209(L),2015/4209(L),30216,,,BAN,Second Primary Education Development Program (Sector Loan),SARD,SASS,11/03/2003,,,,,0.00,50.00,,,50.00,DVA,PS,Full Administration,Bilateral,Grant,ADF,3100.0,Education,,,,,,,,11/03/2003,04/19/2004,,07/19/2012,,Sovereign,Successful,,,) ADB admin.,"DR 2009. Case Study: Improving Primary Education in Bangladesh, pp 14-15. DR 2010. Case Study: Reforming Education, pp 38-39."
2931,Asian Development Bank,Netherlands,2003,2003,,2027,33249,,,SRI,North East Coastal Community Development,SARD,SAAE,11/28/2003,0.00,20.00,0.00,,20.00,,,,,,,,,,ADF,3000.0,Agriculture and Natural Resources,,,,,,,,,,,,,,,,,,
2932,Netherlands,Netherlands,2003,2003,,2027,33249,,,SRI,North East Coastal Community Development,SARD,SAAE,11/28/2003,,,,,0.00,1.50,,,1.50,Non-DVA,,,Bilateral,Grant,ADF,3000.0,Agriculture and Natural Resources,,,11/28/2003,,,,,11/28/2003,,,,,Sovereign,,,,,
2934,Asian Development Bank,Netherlands,2003,2003,,2064/2065/4299(L),32359,,,INO,Participatory Irrigation Sector,SERD,SEAE,12/18/2003,54.00,19.00,0.00,,73.00,,,,,,,,,,OCR,3000.0,Agriculture and Natural Resources,,,,,,,,,,,,,,Successful,,,PCR 2014,
2935,Netherlands,Netherlands,2003,2003,4299(L),2064/2065/4299(L),32359,,,INO,Participatory Irrigation Sector,SERD,SEAE,12/18/2003,,,,,0.00,15.00,,,15.00,DVA,PS,Full Administration,Bilateral,Grant,OCR,3000.0,Agriculture and Natural Resources,,,,,,,,12/18/2003,06/02/2005,,,,Sovereign,Successful,,,# 4299(L),
2937,Asian Development Bank,Netherlands,2004,2004,,2109/4560(L),37135,,,PAK,Supporting Public Resource Management Reforms in Balochistan,CWRD,SAGF,11/26/2004,0.00,3.00,0.00,,3.00,,,,,,,,,,ADF,3600.0,Public Sector Management,,,,,,,,,,,,,,Unsuccessful,Unsuccessful,,,
2938,Netherlands,Netherlands,2004,2004,4560(L),2109/4560(L),37135,,,PAK,Supporting Public Resource Management Reforms in Balochistan,CWRD,SAGF,11/26/2004,,,,,0.00,1.92,,,1.92,DVA,PS,Full Administration,Bilateral,Grant,ADF,3600.0,Public Sector Management,,,,,,,,11/26/2004,12/23/2004,,07/21/2009,,Sovereign,Unsuccessful,Unsuccessful,,ADB administered. NET approval 8 Dec 2004. (TA Loan),
2940,Asian Development Bank,"Canada,Denmark,U.K.,Japan,Netherlands,World Bank,EC",2004,2004,,2123,,,,VIE,Support to Implementation of Poverty Reduction Program,SERD,VRM,12/09/2004,0.00,6.40,0.00,,6.40,,,,,,,,,,ADF,3600.0,Public Sector Management,,,,,,,,,,,,,,,,,,
2941,Netherlands,Netherlands,2004,2004,,2123,,,,VIE,Support to Implementation of Poverty Reduction Program,SERD,VRM,12/09/2004,,,,,0.00,5.00,,,5.00,Non-DVA,,,Bilateral,Grant,ADF,3600.0,Public Sector Management,,,,,,,,12/09/2004,,,,,Sovereign,,,,€ 4.0 million,
2943,Asian Development Bank,Netherlands,2004,2004,,2126/2127/0024,35144,,,INO,State Audit Reform Sector Development Program,SERD,IRM,12/13/2004,200.00,25.00,0.00,,225.00,,,,,,,,,,ADF,3600.0,Public Sector Management,,,,,,,,,,,,,,Partly successful,,,,
2944,Netherlands,Netherlands,2004,2004,0024,2126/2127/0024,35144,,,INO,State Audit Reform Sector Development Program,SERD,IRM,12/13/2004,,,,,0.00,5.00,,,5.00,DVA,PS,Full Administration,Bilateral,Grant,,3600.0,Public Sector Management,,,,,,,,12/13/2004,12/17/2004,,07/01/2011,,Sovereign,Partly successful,,,ADB admin TA# 4473 ($1.3)-TA 4474 ($3.7) - Support for the Implementation of the State Audit Reform Program (Grant -0024). PCR Mar2010.,
2946,Asian Development Bank,"Netherlands,Sweden",2005,2005,,2156/0038/0039,38625,,,BAN,Emergency Flood Damage Rehabilitation,SARD,BRM,01/20/2005,0.00,152.30,0.00,,152.30,,,,,,,,,,ADF,3900.0,Multisector,3900,Multisector,,,,,,,,,,,,Highly Successful,Successful,,,
2947,Netherlands,Netherlands,2005,2005,0038,2156/0038/0039,38625,,,BAN,Emergency Flood Damage Rehabilitation,SARD,BRM,01/20/2005,,,,,0.00,13.00,,,13.00,DVA,PS,Full Administration,Bilateral,Grant,ADF,3900.0,Multisector,3900,,,,,,,01/20/2005,05/02/2005,,12/13/2007,,Sovereign,Highly Successful,Successful,,Grant cf was approved 15Nov05 ref Bd Paper Major change in Proj Scope & Implementation Arrangements R286-05(25Oct05).,
2949,Asian Development Bank,"Canada,U.K.,Netherlands",2005,2005,,2163/2164/0003,34152,,,INO,Community Water Services and Health,SERD,SESS,04/07/2005,34.10,30.59,0.00,,64.69,,,,,,,,,,OCR,3800.0,Water and Other Municipal Infrastructure and Services,,,,,,,,,,,,,,Partly Successful,,,,
2950,Netherlands,Netherlands,2005,2005,0003,2163/2164/0003,34152,,,INO,Community Water Services and Health,SERD,SESS,04/07/2005,,,,,0.00,5.00,,,5.00,DVA,PS,Full Administration,Bilateral,Grant,OCR,3800.0,Water and Other Municipal Infrastructure and Services,,,,,,,,04/07/2005,04/12/2006,,,,Sovereign,Partly Successful,,,,
2952,Asian Development Bank,Netherlands,2006,2006,,2167/0006/0011/0045/8221,39144,,,SRI,Tsunami-Affected Areas Rebuilding Project (Supplementary),SARD,,06/26/2006,0.00,0.00,0.00,,0.00,,,,,,,,,,ADF,3900.0,Multisector,3900,Multisector,,,,,,,,,,,,Succesful,,,Grant 0045; Supplementary - Housing Development Component,
2953,Netherlands,Netherlands,2006,2006,0045,2167/0006/0011/0045/8221,39144,,,SRI,Tsunami-Affected Areas Rebuilding Project (Supplementary),SARD,,06/26/2006,,,,,0.00,8.74,,,8.74,DVA,,Full Administration,Bilateral,Grant,ADF,3900.0,Multisector,3900,,,,,,,06/26/2006,07/28/2005,,01/31/2011,,Sovereign,Succesful,,,Grant 0045 (SUPPLEMENTARY-HOUSING DEVELOPMENT COMPONENT) ,
2955,Asian Development Bank,Netherlands,1994,1994,,2193(L),,,,IND,Energy Efficiency Support,SARD,SARD,10/27/1994,0.00,0.00,0.00,,0.00,,,,,,,,,,ADF,3200.0,Energy,,,,,,,,,,,,,,GS,,,PCR 2000,
2956,Netherlands,Netherlands,1994,1994,2193(L),2193(L),,,,IND,Energy Efficiency Support,SARD,SARD,10/27/1994,,,,,0.00,3.00,,,3.00,DVA,PS,Full Administration,Bilateral,Grant,ADF,3200.0,Energy,,,,,,,,10/27/1994,12/29/2005,,01/14/2011,,Sovereign,GS,,,"Energy Conservation & Environment Imprv, ADB loan 1212 was cancelled. Listed in Dec06  Grant 2193(L) Energy Efficiency Support. File to OAS Aug10.",
2958,Asian Development Bank,"Canada,Denmark,U.K.,Ireland,Japan,Netherlands,Spain,EC,World Bank",2005,2005,,2194,,,,VIE,Support to Implementation on Poverty Reduction Program II,SERD,VRM,11/03/2005,0.00,15.00,0.00,,15.00,,,,,,,,,,ADF,3900.0,Multisector,3900,Multisector,,,Sustainable Economic Growth,,,,,,,,,,,,,
2959,Netherlands,Netherlands,2005,2005,,2194,,,,VIE,Support to Implementation on Poverty Reduction Program II,SERD,VRM,11/03/2005,,,,,0.00,9.80,,,9.80,Non-DVA,PS,,Bilateral,Grant,ADF,3900.0,Multisector,3900,,,,,,,11/03/2005,,,,,Sovereign,,,,"Netherlands Ministry of Development Cooperation (NMDC), €8 m.",
2961,Asian Development Bank,Netherlands,2005,2005,,2200/0036/3302/0441,34418,,,BAN,Southwest Area Integrated Water Resources Planning and Management,SARD,SAAE,11/23/2005,0.00,20.00,0.00,,20.00,,,,,,,,,,ADF,3000.0,Agriculture and Natural Resources,,,,,,,,,,,,,,,,,,
2962,Netherlands,Netherlands,2005,2005,0036,2200/0036/3302/0441,34418,,,BAN,Southwest Area Integrated Water Resources Planning and Management,SARD,SAAE,11/23/2005,,,,,0.00,12.50,,,12.50,DVA,PS,Full Administration,Bilateral,Grant,ADF,3000.0,Agriculture and Natural Resources,,,,,,,,11/23/2005,08/23/2006,,,,Sovereign,,,,ADB Administered,
2964,Asian Development Bank,Netherlands,2015,2015,,2200/0036/3302/0441,34418-023,,,BAN,Southwest Area Integrated Water Resources Planning and Management—Additional Financing,SARD,SAAE,09/30/2015,0.00,45.00,0.00,,45.00,,,,,,,,,,ADF,3000.0,"Agriculture, Natural Resources and Rural Development",,,,,,,,,,,,,,,,,,
2965,Netherlands,"Netherlands,Netherlands",2015,2015,0441,2200/0036/3302/0441,34418,,,BAN,Southwest Area Integrated Water Resources Planning and Management—Additional Financing,SARD,SAAE,09/30/2015,,,,,0.00,7.00,,,7.00,DVA,PS,Full Administration,Bilateral,Grant,ADF,3000.0,"Agriculture, Natural Resources and Rural Development",,,,,,Yes,,09/30/2015,,,,,Sovereign,,,,,
2967,Asian Development Bank,Netherlands,2006,2006,0064,2264/0064,40009,,,INO,Infrastructure Reform Sector Development Program (Project Loan),SERD,IRM,11/21/2006,0.00,26.50,0.00,,26.50,,,,,,,,,,ADF,3900.0,Multisector,3900,Multisector,,,Sustainable Economic Growth,,,,,,,,,,,,,
2968,Netherlands,Netherlands,2006,2006,0064,2264/0064,40009,,,INO,Infrastructure Reform Sector Development Program (Project Loan),SERD,IRM,11/21/2006,,,,,0.00,7.56,,,7.56,DVA,PS,Full Administration,Bilateral,Grant,ADF,3900.0,Multisector,3900,,,,,,,11/21/2006,11/29/2006,,,,Sovereign,,,,ADB admin grant $7.56 m.,
2970,Asian Development Bank,"Australia,Canada,Denmark,Germany,Spain,Ireland,Netherlands,U.K.,World Bank",2007,2007,,2352,,,,VIE,Support the Implementation of Poverty Reduction Program IV,SERD,VRM,10/02/2007,0.00,15.00,0.00,,15.00,,,,,,,,,,ADF,3900.0,Multisector,3900,Multisector,,,,,,,,,,,,,,,,
2971,Netherlands,Netherlands,2007,2007,,2352,,,,VIE,Support the Implementation of Poverty Reduction Program IV,SERD,VRM,10/02/2007,,,,,0.00,16.00,,,16.00,Non-DVA,,,Bilateral,Grant,ADF,3900.0,Multisector,3900,Multisector,,,,,,10/02/2007,,,,,Sovereign,,,,Grants Euro 12m.,
2973,Asian Development Bank,Netherlands,2009,2009,0146,2409/0110/0146/8233/8239,41657,,,BAN,Emergency Disaster Damage Rehabilitation (Sector) (Supplementary),SARD,BRM,02/03/2009,0.00,0.00,0.00,,0.00,,,,,,,,,,ADF,3900.0,Multisector,3900,Multisector,,,,,,,,,,,,Highly Successful,,,"PIGGYBACKED AND SUPPLEMENTARY TO LOAN 2409, RELATED TO GRANT 0110. ","DR 2009. para on NET cof, pp. 36."
2974,Netherlands,Netherlands,2009,2009,0146,2409/0110/0146/8233/8239,41657,,,BAN,Emergency Disaster Damage Rehabilitation (Sector) (Supplementary),SARD,BRM,02/03/2009,,,,,0.00,24.00,,,24.00,DVA,,Full Administration,Bilateral,Grant,ADF,3900.0,Multisector,3900,Multisector,,,,Yes,,02/03/2009,02/19/2008,,04/20/2011,,Sovereign,Highly Successful,,,"Grant 0146; PIGGYBACKED AND SUPPLEMENTARY TO LOAN 2409, RELATED TO GRANT 0110.","DR 2009. para on NET cof, pp. 36."
2976,Asian Development Bank,Netherlands,2008,2008,0129; 0130,2477/0129/0130,37381,,,SRI,Dry Zone Urban Water and Sanitation,SARD,SAUD,11/28/2008,0.00,59.78,23.22,,83.00,,,,,,,,,,ADF,3800.0,Water and Other Municipal Infrastructure and Services,,,,,,,,,,,,,,,,,,
2977,Netherlands Trust Fund for the Water Financing Partnership Facility,Netherlands,2008,2008,0130,2477/0129/0130,37381,,,SRI,Dry Zone Urban Water and Sanitation,SARD,SAUD,11/28/2008,,,,,0.00,2.00,,,2.00,DVA,,Full Administration,Bilateral,Grant,,3800.0,Water and Other Municipal Infrastructure and Services,,,,,,,,11/28/2008,11/13/2009,,,,Sovereign,,,,,
2979,Asian Development Bank,"Netherlands,Korea,MDTF-WFPF",2009,2009,,2511/0147,41013,,,VIE,Thanh Hoa City Comprehensive Socioeconomic Development,SERD,SEID,03/05/2009,0.00,72.00,0.00,,72.00,,,,,,,,,,ADF,3800.0,Water and Other Municipal Infrastructure and Services,,,,,,,,,,,,,,,,,,"DR 2009. para on FCA pp 32. para on NET cof, pp 36."
2980,Netherlands Trust Fund for the Water Financing Partnership Facility,Netherlands,2009,2009,0147,2511/0147,41013,,,VIE,Thanh Hoa City Comprehensive Socioeconomic Development,SERD,SEID,03/05/2009,,,,,0.00,0.80,,,0.80,DVA,,Full Administration,Bilateral,Grant,ADF,3800.0,Water and Other Municipal Infrastructure and Services,,,,,,,,03/05/2009,,,,,Sovereign,,,,,"DR 2009. para on FCA pp 32. para on NET cof, pp 36."
2982,Asian Development Bank,Netherlands,2014,2014,,3138/0396,44167-014,0082,,BAN,Flood and Riverbank Erosion Risk Management Investment Program – Project 1,SARD,SAER,07/03/2014,,65.00,,,65.00,,,,,,,,,,,3000.0,"Agriculture, Natural Resources and Rural Development",3015,Irrigation,,,,,,,,,,,,,,,,
2983,Netherlands,Netherlands,2014,2014,0396,3138/0396,44167-014,0082,,BAN,Flood and Riverbank Erosion Risk Management Investment Program – Project 1,SARD,SAER,07/03/2014,,,,,0.00,15.30,,,15.30,DVA,PS,Full Administration,Bilateral,Grant,,3000.0,"Agriculture, Natural Resources and Rural Development",,,,,,No,,07/03/2014,,,,,Sovereign,,,,,
2986,Asian Development Bank,"Australia,New Zealand",2006,2006,,0042,,,,PNG,HIV/AIDS Prevention and Control in Rural Development Enclaves,PARD,PAHQ,04/25/2006,0.00,0.00,15.00,,15.00,,,,,,,,,,ADF Grant,3400.0,Health and Social Protection,,,,,Inclusive Social and Gender Development,,,,,,,,,,,,no project number,"DR 2009. para on project-specific cofinancing, pp 9. Case Study: Combating HIV/AIDS in Papua New Guinea, pp 34-35. DR 2011. Case Study Brief on grant cof, pp 16."
2987,NZAID,New Zealand,2006,2006,0042,0042,,,,PNG,HIV/AIDS Prevention and Control in Rural Development Enclaves,PARD,PAHQ,04/25/2006,,,,,0.00,3.50,,,3.50,DVA,PS,Full Administration,Bilateral,Grant,ADF Grant,3400.0,Health and Social Protection,,,,,,,,04/25/2006,03/09/1971,,06/20/1974,,Sovereign,,,,ADB admin grant,"DR 2009. para on project-specific cofinancing, pp 9. Case Study: Combating HIV/AIDS in Papua New Guinea, pp 34-35. DR 2011. Case Study Brief on grant cof, pp 16."
